Song,RB1,RB2,RB3,NRB1,NRB2,NRB3,JLTD
I'll Close My Eyes,,,137,,,,
I'll Get By,,,,,160,,
I'll Remember April,231,,,,,,
I'll Take Romance,,,138,164,,,
I'm A Fool To Want You,,168,,,,,
I'm Afraid,19,,,,,,
I'm All Smiles,229,,,166,,,
I'm Gettin' Sentimental Over You,,170,,,,,
I'm Getting Sentimental Over You,,170,,,,172,
I'm Glad There Is You,,,139,,165,,
I'm In The Mood For Love,,,,,,,166
I'm Losing You,,,,,,173,
I'm Old Fashioned,,,140,168,,,
I'm On My Way,,,,,,,178
I'm Through With Love,,,141,,,175,
I'm Your Pal,234,,,,,,
I've Found A New Baby,,185,,,,,
I've Got A Crush On You,,,142,,,,
I've Got The World On A String,,,143,,180,,
I've Got You Under My Skin,,,145,,,,
I've Got Your Number,,,,,181,,
I've Grown Accustomed To Your Face,,,147,,,,
I've Never Been In Love Before,,,148,,184,,
Icarus,219,,,,,,
Ice Cream Konitz,,156,,,,,
Ictus,51,,,,,,
Ida Lupino,223,,,,,,
Idol Gossip,,160,,,,,
If I Loved You,,162,,,,,
If I Should Lose You,,162,,,,,
If I Were A Bell,,163,,160,,,
If You Could See Me Now,,164,,,,177,
If You Never Come To Me,225,,,163,,,
III Wind,,,149,,,,
Ill Wind,,,149,,162,,
Illuminados,,,,,163,,
Imagination,,169,,169,,,
Impressions,233,,,,166,,
In A Capricornian Way,,,150,,,,
In A Mellow Tone,235,,,,,180,
In A Mist,,,,,,,169
In A Sentimental Mood,236,,,,,181,
In Case You Haven't Heard,,171,,,,,
In Case You Missed It,,,,,,183,
In Don's Kitchen,,,,,,,165
In Her Family,,,151,,,,
In Love In Vain,,,152,,,,
In Love With Night,,,,,,186,
In Pursuit Of The 27th Man,,174,,,,,
In Salah,,,,,,,172
In The Days Of Our Love,,,153,,,,
In The Wee Small Hours Of The Morning,,,,,168,,
In Walked Bud,,175,,171,,,
In Your Own Sweet Way,245,,,,169,,
In Your Quiet Place,246,,,,,,
Incentive,,172,,,,,
Inchworm,237,,,,,,
Indian Lady,238,,,,,,
Indian Summer,,,155,,,,
Indiana,,173,,,,,
Inez,,,,,,,170
Inner Urge,242,,,,,187,
Inside In,239,,,,,,
Interplay,243,,,,,,
Intrepid Fox,244,,,,,,
Introspection,,,,,,,173
"Invisible, The",,,,,,,170
Invitation,247,,,,,189,
Iris,249,,,,,,
Irv's At Midnight,,,156,,,,
Is It Really True?,,178,,,,,
Isabel The Liberator,,,,,,,177
Isfahan,,,157,,172,,
Island Birdie,,177,,,,,
"Island, The",,,,172,,,
Isn't It Romantic,251,,,,,,
Isoar,,,,,,191,
Isotope,252,,,,,194,
Israel,253,,,,,,
It All Comes Back To You,,,,,,,179
It All Goes 'Round And 'Round,,,,,,25,
It Always Is,,,,,,195,
It Could Happen To You,,179,,,,,
It Could Only Happen With You,,,,,,,171
IT DON'T MEAN A THING,254,,,,,,
It Don't Mean A Thing (If It Ain't Got Tha,254,,,,173,,
It Had To Be You,,180,,,,,
It Happens Every Day,,,,174,,,
It Might As Well Be Spring,,183,,,,,
It Never Entered My Mind,,,158,,,,
It's A Raggy Waltz,255,,,,,,
It's All Right With Me,,,159,,,,
It's Only A Paper Moon,,182,,,174,,
It's The Talk Of The Town,,,,,175,,
It's You,,,,,177,,
It's You Or No One,,,161,,,,
It's You Or No One For Me,,,,,,,180
Jackie,,186,,,,,
Jaco,,187,,,,,
Jacob's Ladder,,,,,185,,
Jaguar,,,,,,,183
"Japanese Waltz, A",,,162,,,,
Je Ne Sais Pas,,189,,,,,
Jean De Fleur,,,,,,199,
Jeannine,,188,,,,,
Jelly Roll,256,,,,,,
Jersey Bounce,,,163,177,,,
Jeru,,,,,,,185
Jinrikisha,257,,,,,,
Jitterbug Waltz,,191,,,,,
"Jitterbug Waltz, The",,191,165,,,201,
Jive Samba,,,164,,,,
Joanna,,,,,,,184
Jodo,,,,,,,187
"Jody Grind, The",,190,,,,,
Joe Maini,,,,,,,184
John's Waltz,,,,,,202,
"Joint Is Jumpin', The",,,,,485,,
Jordu,258,,,,187,,
Jorgie's,,193,,,,,
Joshua,,,,178,,,
Joshua C,,,,,,,190
Journey To Recife,259,,,,,,
Joy Spring,260,,,,,,
Joy To The World,,195,,,,,
Joyce's Samba,,194,,,,,
Ju-Ju,261,,,,,,
Juicy Lucy,,,,,,,188
Julian,,,169,,,,
Jump For Me,,196,,,,,
Jump Monk,263,,,,,,
Jumping With Symphany Sid,,195,,,,,
Jumping With Symphony Sid,,195,,,,,
"June 15th, 1967",265,,,,,,
Juntos,,,,,189,,
Just A Few,,197,,,,,
Just A-Sittin' And A-Rockin',,198,,,,,
Just By Myself,,,,,,,191
Just Friends,262,,,,,203,
Just In Time,,199,,,,,
Just One Of Those Things,,,167,,,,
Just Squeeze Me,,,170,,,204,
Just The Way You Are,,201,,,,,
"Just You, Just Me",,200,,,,206,
Kahlil The Prophet,,,,,,207,
Kaleidoscope,,,,,,,194
Kary's France,,203,,,,,
Kary's Trance,,203,,,,,
Katrina Ballerina,,204,,,,,
Keep That Same Old Feeling,,,,180,,,
Kelo,18,,,,,,
Kentucky Oysters,,205,,,,,
"Kicker, The",,205,,,,,
Kids Are Pretty People,,206,,,,,
Kiki And Mingus,,,,,,,192
Killer Joe,,207,,,191,,
Killing Me Softly With His Song,,,,183,,,
Knock On Wood,,,,,,209,
Kryptonite,,,,,,,192
La Fiesta,267,,,,,,
La Mesha,,,,,,,196
La Nevada Blues,,213,,,,,
La Samba,,,,184,,,
La Vida Feliz,,,,186,,,
Ladies In Mercedes,,,171,,,,
Lady Bird,269,,,190,,,
Lady Day,,,,,,,195
"Lady Is A Tramp, The",,,173,,,,
Lady J,,,,,,,197
Lady Sings The Blues,,,,,,,195
Lady's Blues,,208,,,,,
Lakes,,209,,,,,
Lament,270,,,,,,
"Lamp Is Low, The",,,,,,212,
Landslide,,,,,,,199
Las Vegas Tango,271,,,,,,
Last First,,,,192,,,
Last Nite,,,,,,213,
"Last Page, The",,211,,,,,
Last Season,,,,,,217,
Last Train From Overbrook,,,,194,,,
Laura,,210,,,,222,
Laurie,,,,195,,,
Lazy Afternoon,,,174,,,,
Lazy Bird,272,,,,,,
Leap Of Faith,,,175,,,,
Left Alone,,,,,,,199
Leila,,214,,,,,
Lennie's Pennies,,215,,,,,
Lennie-Bird,,234,,,,,
Leroy The Magician,273,,,,,,
Lester Leaps In,,216,,,,,
Lester Leaps In;,,216,,,,,
Lester Left Town,,,,,,,200
Let Me Be The One,,,,196,,,
Let's Call This,,,,,,,203
Let's Cook One,,217,,,,,
Let's Cool One,,217,,,,,
Let's Fall In Love,,,367,,192,,
Let's Go Dancin',,,,198,,,
Let's Stay Together,,,,,,223,
Li'I Darlin',,,176,,,,
Li'l Darlin',,,176,,,,
Liberated Brother,,218,,,,,
Licea,,,,,,,202
Lie Awake,274,,,,,,
Lies,,219,,,,,
Light As A Feather,,220,,,,,
Light Blue,,,,,,,202
Like A Lover (O Cantador),,,,,193,,
"Like Father, Like Son",,,,,195,,
Like Someone In Love,275,,,200,,,
Like Sonny,,221,,,197,,
Lil's Paradise,,,,,,,204
Limbo,,213,,,,,
Limehouse Blues,276,,,,,,
Line For Lyons,,,177,201,,,
Lion's Den,,,,,,,207
Lisa,,,,,200,,
Lisa (Feldman),,,,,,,208
Lisa (Montolieu),,,,,,,207
Litha,277,,,,,225,
Little B's Poem,279,,,,,,
"Little Chicago Fire, A",,222,,,,,
Little Face,,,179,,,,
Little Girl Blue,,,181,,,,
Little Linda,,,,,,,193
Little Melonae,,,,,,,203
Little Niles,280,,,,,,
Little Rootie Tootie,,416,,,,,
Little Sheri,,,,,,,209
Little Sunflower,,223,,202,,,
Little Susan,,,,,,,211
Little Waltz,283,,,204,,,
Little Willie Leaps,,,178,,,,
Little Wind,,,,,201,,
Liturgy,281,,,,,,
Locomotion,,224,,,,,
Lodgellian Mode,,,,,,,213
Lone Jack,,225,,,,,
Lonely Dreams,,227,,,,,
Lonely Town,,,,,,,214
Lonely Woman,,,,,,227,
Long Ago And Far Away,285,,,205,,,
Long As You Know You're Living Yours,284,,,,,,
"Long View, The",,,183,,,,
Long Yellow Road,,,,,,,215
Lonnie's Lament,286,,,,,,
Look At The Birdie,,,,,,229,
Look For The Silver Lining,,,,,,,206
Look To The Sky,287,,,,,,
Looking Back,288,,,,,,
"Loop, The",,,185,,,,
"Loop,The",,,185,,,,
Loose Ends,,,,,203,,
Lost,,,,,,,216
Lost Love,,,,,,,217
"Lotus On Irish Streams, A",,,186,,,,
Loud-Zee,,,187,,,,
Louise,,,,,,,218
Love Came On Stealthy Fingers,,,,206,,,
Love Dance,,,,208,,,
Love For Sale,,229,,,,,
Love Letter,,,,,,232,
Love Poem,,,,,,,210
Love Vibrations,,232,,,,,
Love Walked In,,,189,,,,
Love's Haunts,,,,,,233,
Lover,,228,,,,,
Lover Man,,231,,,,,
Lovers Rain Dance,,,188,,,,
Loxodrome,,,,,206,,
Lucky Southern,289,,,,,,
Lullaby In Rhythm,,,,,,238,
Lullaby Of Birdland,290,,,,,,
Lullaby Of The Leaves,,,191,,207,,
Lulu's Back In Town,,,192,,,,
Luminescence,,,,,,,212
Lunar Tune,,415,,,,,
Lunarcy,,,,,,,221
Lush Life,291,,,210,,,
Lydian April,,233,,,,,
Lydian Dream,,,,,,,222
Lyresto,,,,,,,220
Macpherson Struts Again,,,,,,,223
Madagascar,,,,212,,,
Mademoiselle Mabry,,,,,,,224
Madison Avenue,,,,,,,223
"Magician In You, The",293,,,,,,
Mahjong,299,,,,208,,
Maid In Mexico,,,,,,,225
Maiden Voyage,294,,,,,239,
Maidens Of Cadiz,,,,,,,227
MAJOONG,299,,,,,,
Make Me A Memory (Sad Samba),,,,215,,,
Make Someone Happy,,235,,,,,
Makin' Whoopee,,,193,,,,
Mallet Man,295,,,,,,
Mamacita,,,,,,241,
Man,,,,,,,228
Man Facing North,,,,,,245,
"Man I Love, The",,236,,,,,
Man In The Green Shirt,297,,,,,,
Mandala,,,195,,,,
Manha De Carneval,,,,,209,,
Manhattan,,,196,,,,
Manteca,,417,,,,,
Margerine,,,,,,,230
Marilia,,,,,,,231
Marionette,,,,,,,229
Marmaduke,,,,,,,229
Mary's Blues,,,,,,,230
Masquerade,,237,,,,,
"Masquerade Is Over, The",,,,,211,,
"Masquerade, This",,237,,371,,,
Masqularo,,,,,,,225
Matinee Idol,,,,216,,,
Mating Call,,,,,,,226
Matrix,,,197,,,,
May Dance,300,,,,,,
May-Reh,,238,,,,,
Mayreh,,238,198,,,,
Mean Lene,,,,,,,233
Mean To Me,,,,,213,,
"Meaning Of The Blues, The",,,199,,,,
Meditation,301,,,,,,
Mellow Mood,,239,,,,,
Memo To Maurice,,,,,,,233
Memories Of Tomorrow,302,,,,,,
Memories Of You,,240,,,214,,
Memphis Underground,318,,,,,,
Menina Flor,,241,,,,,
"Mercy, Mercy, Mercy",,242,,218,,,
Metamorphosis,,,,,,249,
Mevlevia,303,,,,,,
Mi Boj A Samba,,,201,,,,
Michelle,305,,,,,,
Midland,,,,,215,,
Midnight Mood,306,,,,,,
Midnight Silence,,,,,,253,
Midnight Sun,,,203,,,,
"Midnight Sun Will Never Set, The",,,,221,,,
"Midnight Sun, The",,,203,220,,,
Midwestern Nights Dream,494,,,,,,
Milano,307,,,,,,
Miles Ahead,,243,,,,,
Miles Mode,,,,,,,234
Milestones,,,200,,,,
Mine Is Yours,,,,,217,,
Minha Saudade,,,,,,,235
Minor Mishap,,244,,,,,
Minor Mood,,245,,,,,
Minor Strain,,,,,,,232
Minority,308,,,,,,
Miss Ann (1 & 2),,,,,,,236
Misty,309,,,447,,,
Miyako,310,,,,,,
Mo' Joe,,,,,219,,
Moak's Shop,,246,,,,,
Moanin',,247,,,,,
Modadji,,,,222,,,
Modesty Blues,,248,,,,,
Mohawk,,,,,,,237
Molten Glass,311,,,,,,
Moment To Moment,,,205,,,,
Moment's Notice,312,,,,223,,
Monk On The Run,,,,,,255,
Monk's Mood,,241,,225,,,
Monk's Sphere,,250,,,,,
Monkey's Uncle,,,,226,,,
Monking Business,,,,,,,239
Monks Dream,,,,,,,240
"Monster & The Flower, The",,,207,,,,
Montage,313,,,,,,
Mood For Maude,,,,,,,243
Mood Indigo,314,,,,226,,
Moon and Sand,,,209,,,259,
Moon Germs,315,,,,,,
Moon Glow,,251,,,,,
Moon Rays,,252,,,,,
Moonchild,106,,,,,,
Moonglow,,251,,,,262,
Moonlight In Vermont,,,206,231,,,
Moonlight Serenade,,,,,,264,
Moonrays,,252,,,227,,
Moontide,,,,,231,,
Moontrane,,253,,,,,
Moose The Mooche,,254,,,,,
"More I See You, The",316,,,,,,
More Love,,,,,237,,
More Than You Know,,,,,487,,
Mornin',,,,232,,,
Morning,,255,,,,,
Morning Dance,,,,234,,,
Morning Sprite,,,,,241,,
"Morpo ,,",,,,,,,226
Moten's Swing,,256,,,,,
Mother Of The Dead Man,317,,,,,,
Mountain Greenery,,,211,,,,
Move,,257,,,,,
"Movin' In, Movin' Out",,,,,,,244
Movin'Along°,,,,,,,242
Moving Out,,258,,,,,
Mozambique,,,,,243,,
"Mr Broadway, Theme From",,259,,,,,
Mr Clean,,234,,,,,
MR JIN,,,,,,,
Mr Jones,,260,,,,,
Mr Kenyata,,,,,,,237
Mr Magic,,261,,,,,
Mr Misha And Little Lilly,,,,,,,238
MR PC,318,,,,,,
Mr Sims,,262,,,,,
"Mr. Broadway, Theme From",,259,,,,,
Mr. Clean,,234,,236,,,
Mr. Gone,,,,238,,,
Mr. Jin,20,,,,,,
Mr. Jones,,260,,,,,
Mr. Magic,,261,,,,,
Mr. P.C.,318,,,,246,,
Mr. Sims,,262,,,,,
Mrs Miniver,,263,,,,,
Mrs. Miniver,,263,,,,,
Muezzin,,264,,,,,
Muezzin',,264,212,,,,
My Attorney Bernie,,,,240,,,
My Favorite Things,319,,,,,,
My Foolish Heart,320,,,,,,
My Funny Valentine,321,,,,,,
My Girl,,,,,,265,
My Heart Stood Still,,,215,,,,
My Ideal,,,,,,,245
My Little Boat,322,,,,,,
My Little Suede Shoes,,265,,,,,
My Mama Don Tol' Me,,,,,,,245
My Man's Gone Now,,,213,,,,
My Old Flame,,266,,,,,
My One And Only Love,323,,,,,,
My Romance,324,,,242,,,
My Shining Hour,,,,243,,,
My Ship,327,,,,247,,
Myako,,,,,,,244
Mysterious Traveler,325,,,,,,
Mystic Touch,,250,,,,,
Mystique,,,,,,,246
Myth,,,,,,,246
"N ight We Called It A Day, The",,,219,,,,
Naima,328,,,,250,,
Nancy Joe,,272,,,,,
Nancy With The Laughing Face,,,,,,,248
Napanoch,,,,,251,,
Nardis,329,,,,,,
"Natives Are Restless Tonight, The",,,,,253,,
Natural Selection,,,,,256,,
Nature Boy,,267,,244,,,
Neal's Blues,,,216,,,,
"Nearness Of You, The",,268,,,,,
"Necessary Blonde, The",,,,,257,,
Nefertiti,330,,,245,,,
Never Alone,,,,,263,,
Never Givin' Up,,,,246,,,
Never Let Me Go,,,217,,,,
Never Make Your Move Too Soon,,,,250,,,
Never Said (Chan's Song),,,,,,267,
Never Will I Marry,331,,,,265,,
New Bag Blues,,,,,,,249
New Boots,,,,,,269,
"New Thing, A",,269,,,,,
Newcomer,,,,,,,250
Next Future,,,,,,271,
Nica's Dream,332,,,,267,,
Nica's Tempo,,,,,,,251
Nice 'N Easy,,,218,,,,
Nice'N Easy,,,218,,,,
Nigerian Marketplace,,,,252,,,
Night And Day,333,,,,,,
Night Dreamer,334,,,,272,,
NIGHT HAS A THOUSAND EYES,335,,,,,,
"Night Has A Thousand Eyes, The",335,,,,,,
Night Train,,,,,,,247
"Night We Called It A Day, The",,,219,,,,
"Nightingale Sang In Berkeley Square, A",,,220,,,,
Nightlake,,,,253,,,
Nightmood (Lembra),,,,,275,,
Nights At The Turntable,,,,,,,243
Nimbus,336,,,,,,
No Me Esqueca,,270,,254,,,
No Moe,,271,,,,,
No Moon At All,,,,,490,,
No Splice,,275,,,,,
No Ties,,,,,,,252
No Way Out,,,,,,273,
Nobody Else But Me,,,221,,,,
Nonsequence,337,,,,,,
North Atlantic Run,,273,,,,,
Nostalgia In Times Square,339,,,,,,
Not Ethiopia,,,,256,,,
Nothing Personal,,,,258,,,
November 68th,,,,,,,254
November Afternoon,,,,,,,253
"Now He Beats The Drum, Now He Stops",,,222,,,,
Now He Beats The Drum-Now He Stops,,,222,,,,
"Now He Sings, Now He Sobs",,,223,,,,
Now's The Time,,272,,,,,
Nowhere To Run,,,,,,277,
Nuages,,,,,,,255
Number 4,,,,,,,256
Number 6,,,224,,,,
Nutville,,276,,,277,,
Obsequious,,,,,,,256
Ode to the Doo Da Day,,,,,281,,
Off Flow,,,,,,279,
Off Minor,,277,,260,,,
Oh Lady Be Good!,,278,,,,,
Oh No,,,,,,,259
Oh You Crazy Moon,,,,,,,258
Old Devil Moon,,279,,,,,
Old Folks,,,225,,,,
Ole,,,,,287,,
Oleo,340,,,262,,,
Olhos De Gato,341,,,,,,
Olinoqui Valley,21,,,,,,
On A Clear Day,,280,226,,,,
On Green Dolphin Street,,,,,,283,
On The Quee-Tee,,,,,,,262
On The Sly,,,227,,,,
On The Stairs,,285,,,,,
On The Street Where You Live,,,229,,,,
On The Sunny Side of the Street,,,297,,289,,
On The Trail,,284,,,,,
ONCE I LOVED,342,,,,,,
Once in a While,,281,,,290,,
Once In Awhile,,281,,,,,
Once Upon A Summertime,,,,,,,260
"One Bird, One Stone",,,,,,285,
One By One,,282,,,,,
One Family,,,,264,,,
One Finger Snap,343,,,,,290,
One Foot In The Gutter,,283,,,,,
One For Daddy-0,,285,,,,,
One For Daddy-O,,283,,,,,
One For My Baby,,,,,,,257
One For My Baby (And One More For The Road),,,,266,,,
One Note Samba,344,,,,,,
One With One,,,,,,,261
Only You Know,,,231,,,,
Ooo Baby Baby,,,,,,291,
"Open Your Eyes, You Can Fly",345,,,,,,
Oppornockity Tunes But Once,,,,,,,262
Opus 3 (Charles Mingus),,,,,,,263
Opus 4 (Charles Mingus),,,,,,,264
Opus De Funk,,285,,,,293,
"Orange Was The Color Of Her Dress, Then Silk Blue",,,,,,,265
Orbit,,,,,,,266
Orbits,347,,,,,,
Organ Grinder,,,,,,,267
Original Untitled Ballad,,,,,,,267
Ornithology,348,,,,,,
Our Delight,,,235,,,,
Our Love Is Here To Stay,,286,,,,,
Our Man Higgins Man,,,,,,,270
Out,,,,,,,268
Out A Day,,,,,,295,
Out Back,,,,,,,268
Out Back Of The Barn,,287,,,,,
Out Of Nowhere,349,,,,,,
Out Of The Night,,,,,,,268
Out Of This World,,,233,268,,,
Out There,,,,,,,270
"Outlaw, The",,,,,,,269
Over The Rainbow,,,236,,,297,
Ow!,,,237,,,,
Oye Como Ya,,410,,,,,
Oz,,,,270,,,
P.Y.T. (Pretty Young Thing),,,,294,,,
Palo-Alto,,289,,,,,
Pamela's Passion,,,,,,,271
Panhandle Hook,,,239,,,,
Pannonica,,288,,,,,
Papa Lips,,,,272,,,
Parisian Thoroughfare,,,,,,,273
Parker 51,,,,,,,275
Part-Time Lover,,,,,,299,
Partido Alto,,,,274,,,
"Party's Over, The",,,238,,,,
Pass It On,,,,,,,277
Passion Dance,350,,,,,,
Passport,,,241,,,,
Pat 'N' Chat,,,,,,,274
Pats New Samba,,,,,,,272
Patterns,,291,,,,,
Patz Blues,,,242,,,,
Pawnee Junction,,,,,,,277
Peace,353,,,,292,,
Peaches 'N Cream,,,,,,,276
Peaches En Regalia,351,,,,,,
Pearlie's Swine,354,,,,,,
Pedro's Time,,,,,,,276
Pee Wee,355,,,,,,
Peep,,,,,293,,
Peg,,,,,,,279
Peggy's Blue Skylight,356,,,,,,
Pendulum,,,,,,303,
Pennies From Heaven,,293,,,,,
Penny Arcade,,294,,,,,
Pensativa,357,,,,,,
Pent Up House,359,,,278,,,
PENT-UP HOUSE,359,,,,,,
People,,,243,,,,
People Will Say We're In Love,,289,,,,,
Perdido,,295,,,299,,
Perdido Line,,297,,,,,
Peresina,,,,,,,278
"Perfect Love, Jamala",22,,,,,,
Perhaps,,,245,,,,
Peri's Scope,360,,,,300,,
Petite Fleure,,300,,,,,
Petits Machins,,301,,,,,
Pfrancing (No Blues),,,,,,,
Phase Dance,,303,,,,,
Philly Mignon,,,,,,,271
Picadilly Lilly,,,246,,,,
Pick Yourself Up,,302,,,,,
Picture Of Health,,,,,,,280
Ping Pong,,,,,,,281
Pinocchio,362,,,,,,
Pithycanthropus Erectus,363,,,,,,
Plain Jane,23,,,,,,
Platz Blues,,,242,,,,
Played Twice,364,,,,,,
Playground,,,,,,,282
Plaza Real,,,,280,,,
Plight,,,,,,,283
Poinciana,,,247,,,,
Point Of Return,,,248,,,,
Polka Dots And Moonbeams,,304,,,,,
Polkadots And Moonbeams,,304,,286,,,
Poor Butterfly,,,249,,,,
Port Rico Rock,,,,,,,284
Portrait Of Jennie,,305,,,,,
Portrait Of Tracy,,,,288,,,
Portsmouth Figurations,365,,,,,,
Power Play,,,,,301,,
Pragression,,306,,,,,
"Preacher, The",,307,,,,,
Prelude To A Kiss,366,,,,,304,
"Pretty Girl Is Like A Melody, A",,,250,,,,
Prince Albert,,,,,,,285
Prince Of Darkness,367,,,,,,
Prism,,,251,,,,
Progression,,306,,,,,
Promenade,,,,290,,,
Promise,,,,,,305,
"Promise, The",,,,,304,,
Punjab,,,,,,307,
Pure Imagination,,,252,,,,
Pursuance,,307,,,,,
Pussy Cat Dues,368,,,,,,
Put It Where You Want It,,,,292,,,
Pyramid,,,,,,309,
Quartet No 2 Part 2,,,,,,,287
Question Mark,,,,,,312,
Quick Step,,,,,,,290
Quicksilver,,308,,,305,,
Quiet Fire,,,,,,,288
Quiet Girl,,,,,307,,
Quiet Now,369,,,,,,
Quintessence,,,,296,,,
Quintile,,,,,,,289
R.F.K.,,,,,,,295
Rahsaan's Run,,,253,,,,
Rain Waltz,,,,,315,,
Rainbow Seeker,,,,,,,292
Rainland,,,,,,313,
Ramblin',,314,,,,,
Rapture,,,,297,,,
Rapuzel,,,,,,,299
"Raven, The",370,,,,,,
Re-Re,,,254,,,,
Re: Person I Knew,,,255,299,,,
Re; Person I Knew,,,255,,,,
"Reach Out, I'll Be There",,,,,,319,
Ready Rudy,,,,,,,291
"Real Guitarist, The",371,,,,,,
Real Life,,,,,,321,
Rebel Without A Cause,,,,,,,291
Recado Bossa Nova,,309,,,,,
Receipt Please,,,,,,,290
Recordame,372,,,,,,
Red Clay,375,,,,,,
Red Cross,,310,,,,,
Red's Blues,,,,,,324,
Reflections,24,,,,,,
Reincarnation Blues,,,,,,,293
Reincarnation Of A Lovebird,373,,,300,,,
Relaxin' At Carmarillo,,,256,,,,
Relentless,,,,,,325,
"Remark You Made, A",,311,,,,,
Remember Hymn,,,,,320,,
Remember Rockefeller At Attica,,,,303,,,
Remember Rockerller At Attica,,,,,,,294
Resolution,376,,,,,,
Resonant Emotions,,,,,,,295
Respect,,,,,,327,
Retsim B,,,,,,,296
Revelation,,,,,,329,
Reverie,,,,,,,297
Rhythm-A-Ning,,316,,,,,
Richards Tune,,,,,,,296
Riddles,,,,,,333,
Rio,,,,304,,,
Riot,,,,,,,298
Ritual,,,,,,335,
River People,,,,307,,,
RJ,,,,,,,300
Road Song,25,,,,,,
Robbin's Nest,,313,,310,,,
Rocker,,,,,,,301
Rockin' Chair,,,,,321,,
Room 608,,,259,,,,
Rosetta,,,,,322,,
Rosewood,,,257,,,,
Rotation,,,,,,,302
Rouge,,,,,,,303
ROUND MIDNIGHT,377,,,,,,
Round Trip,,314,,,,,
Route 4,,,,,,,303
Rubberneck,,315,,,,,
Ruby,,,,,,337,
Ruby My Dear,,,,,,,304
"Ruby, My Dear",,,,312,,,
Rush Hour,,,,314,,,
S Matter,,,,,,,324
Sabra,,,,,,,305
Sack 0' Woe,,,,,,,305
Sad Eyes,,,,,,,306
Sadiga,,,,,,,306
Safari,,,,316,,,
SAGA OF HARRISON,14,,,,,,
Saga Of Harrison Crabfeathers,378,,,,,,
Sail Away,,,,,,339,
Sailing at Night,,,,,323,,
Saint James Infirmary,,332,,,,,
Saint Thomas,,322,260,,,,
Salt Peanuts,,317,,,,,
Salute To The Bandbox,,,,,,,308
Samba De Orfeu,,,261,,,,
Samba Du Bois,,318,,,,,
Sambacide,,,265,,,,
Same Shame,379,,,,,,
Sandu,,319,,320,,,
Sans Souci,,,,,,,309
Santurce,,,263,,,,
Satin Doll,380,,,321,,,
Save Your Love For Me,,,,322,,,
"Scene Is Clean, The",,418,,,,,
Schizophrenia,,,,,,,311
Scotch 'N' Soda,381,,,,,,
Scotch And Water,,,,,,,312
Scourn',,,,,,,312
Scrapple From The Apple,382,,,,,,
Sea Journey,383,,,,325,,
Seabrook Revisited,,,266,,,,
Search For Peace,,,,325,,,
"Second Time Around, The",,,,,,342,
Secret Love,,,267,,,,
Seeds Of Sin,,,,,,,313
Seems To Me,,,269,,,,
SELF PORTRAIT IN 3 COLORS,385,,,,,,
Self Portrait In Three Colors,385,,,326,,,
Semblence,386,,,,,,
Send One Your Love,,,,,,,316
SENJOR MOUSE,387,,,,,,
Senor Blues,,,,,327,,
Senor Mouse,387,,,,,,
September In The Rain,,320,,,,,
September Song,,321,,,330,,
Serenade To A Cuckoo,390,,,,,,
Serenade To A Soul Sister,,323,,,,,
Serenata,,,,,,343,
Serene,,322,,,,,
Serenity,,326,,,,,
Serpent's Tooth,,,270,,,,
Seven Come Eleven,391,,,,,,
Seven Steps to Heaven,392,,,,331,,
Seventeen West,,324,,,,,
Seventh Avenue,,,,,,,320
Shades Of Light,393,,,,,,
SHADOW OF YOUR SMILE,394,,,,,,
"Shadow Of Your Smile, The",394,,,,,346,
Shaker Song,,,,328,,,
Shaky Jake,,,,,,,317
Shaw 'Nuff,,,271,330,,,
Shaw Nuff,,,271,,,,
Shiny Stockings,,325,,,,,
Shirley,,,,,,,318
Short Count,,,,,,,318
Short Politician,,,,,,,319
Short Riff,,363,,,,,
Short Stop,,329,,,,,
Short Story,,,,,,347,
Shutter Bug,,329,,,,,
Sid's Ahead,,,,,,,319
Sidewinder,395,,,,,,
Silver's Serenade,,327,,,333,,
Simone,,328,,,,,
Simple Samba,,,,332,,,
Since We Met,,,,,,349,
Sing Me Softly of the Blues,396,,,,338,,
Sing No Blues,,,,,,,333
Sippin' At Bell's,,332,,,,,
Sister Sadie,,331,273,,,,
Sixth Sense,,,,,,,321
Skating In Central Park,397,,,,,,
Skippy,,,,,,,322
Skippy-ing,,,,,339,,
Sky Dive,,,,,,,323
Skylark,,,274,334,,,
"Sleepin' Bee, A",,419,275,,,,
"Sleeping Bee, A",,419,,,,,
Slipped Disc,,333,,,,,
"Slow, Hot Wind",,335,,,,,
"Slow, Hot; Wind",,335,,,,,
"Slowly Gone, Bygone",398,,,,,,
Small Day Tomorrow,,,,336,,,
Smile Please,,,,,,352,
Smoke Gets In Your Eyes,,336,,,,,
Sno Peas,,,,,,,324
So Dolt,,,,,,,325
So In Love,,,277,,,,
So Many Stars,,,,,341,,
"So Near, So Far",,,,,,353,
So What,412,,,,,,
Softly As A Morning Sunrise,,337,,,,,
Solar,399,,,338,,,
Solitude,400,,,,,356,
Some Nerve,,,279,,,,
Some Other Blues,,326,,,344,,
Some Other Time,402,,,,,,
Some Skunk Funk,403,,,,,,
Someday My Prince Will Come,401,,,339,,,
Someone to Light Up My Life,,,,,345,,
Someone To Watch Over Me,,338,,,,,
Something Different,,,,,,,325
Something From Everyone,,,280,,,,
Sometime Ago,405,,,,,,
Somewhere Before,,,,,,,320
SON OF MR GREEN GENES,409,,,,,,
Son Of Mr. Green Genes,409,,,,,,
Song,406,,,,,,
Song For Bilbad,,339,,,,,
